Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.45000000000000001,52,165,10,0.12443438914027148,3.1192307692307693,3.2006091756299995,0.29838709677419356,0.6153846153846154
0.91000000000000003,52,295,6,0.22247360482654602,2.0616666666666665,2.7817592611999999,0.47058823529411764,0.6538461538461539
1.3600000000000001,52,377,4,0.28431372549019607,1.519134775374376,3.32119518393,0.6060606060606061,0.6538461538461539
1.8100000000000001,52,445,7,0.3355957767722474,2.6509695290858724,3.87100727828,0.40980573543015725,0.9038461538461539
2.27,52,514,6,0.38763197586727,2.185595567867036,3.5441131504000003,0.4736355226641998,0.9038461538461539
2.7200000000000002,52,571,5,0.43061840120663647,1.9215143120960296,3.87100727828,0.5263644773358002,0.9038461538461539
3.1699999999999999,52,620,6,0.4675716440422323,1.8538657604078166,5.6186513326499998,0.5263605442176871,0.9423076923076923
3.6299999999999999,52,661,5,0.4984917043740573,1.7039864291772688,5.4792673938100007,0.5603741496598639,0.9423076923076923
4.0800000000000001,52,701,7,0.528657616892911,2.0505279034690798,5.3317520933199996,0.528657616892911,1.0
4.5300000000000002,52,728,6,0.5490196078431373,1.8220211161387632,6.4168739369900001,0.5490196078431373,1.0
