Coefficient,1.3600000000000001
Nodes,52
Diameter,4
Giant Cluster Density,0.6060606060606061
% Nodes in Giant Cluster,0.6538461538461539
Mode Value,3.32119518393
Mode Name,7

Name,Value,Degree
0,10.821401894899999,3
1,3.5441131504000003,24
2,1.9775602204700002,16
3,3.6247607891400002,25
4,9.27675631392,6
5,3.87100727828,24
6,12.3827927459,2
7,3.32119518393,26
8,3.0637908565599994,25
9,3.3974985529600001,25
10,2.7817592611999999,24
11,10.674174215100001,3
12,3.16226111282,25
13,8.6312339873199999,7
14,2.3680816008600001,22
15,3.4085230277599998,25
16,9.2104556715699992,7
17,11.763502488399999,4
18,2.7524765741299997,24
19,3.0546979162199999,25
20,2.4902556140500001,22
21,2.7725232936099999,24
22,3.9916457732400001,25
23,2.6576034643799997,24
24,8.7387464275699998,7
25,5.3317520933199996,9
26,2.1051980984699998,18
27,3.6383115978400005,25
28,5.4792673938100007,8
29,8.7657904807999998,7
30,2.9863124426400001,24
31,7.902823120239999,6
32,3.2006091756299995,25
33,5.0292701739999996,8
34,4.6716632227800003,15
35,6.4168739369900001,4
36,2.7963383428599999,24
37,8.9764214094100012,7
38,4.3978588034800001,20
39,6.49722565233,4
40,2.9490798552900004,24
41,24.190738891199999,0
42,3.5688514905500002,24
43,16.6004353971,1
44,20.671005110300001,1
45,3.1881201998199997,25
46,15.377803365999998,1
47,8.6477210838600005,7
48,5.6186513326499998,8
49,11.3024508755,4
50,20.353827357899998,1
51,4.9497383465900002,10
