Coefficient,0.19
Nodes,27
Diameter,6
Giant Cluster Density,0.3333333333333333
% Nodes in Giant Cluster,0.37037037037037035
Mode Value,2.6937351682999999
Mode Name,1

Name,Value,Degree
0,2.8949136640099997,1
1,2.6937351682999999,4
2,5.7809743611500002,0
3,2.5474327909599999,4
4,3.7851060218099999,3
5,2.7431105831200004,3
6,3.8872540580400003,3
7,2.1701781677600001,2
8,4.8469245792699995,4
9,10.213883429800001,1
10,2.5184373453599997,4
11,3.4275055077399998,0
12,4.9032442489800001,3
13,4.7204660284400006,4
14,2.6875846911400001,4
15,4.743788103,4
16,2.2301221606200001,2
17,6.2843455054900001,0
18,1.9559817337000001,0
19,2.4657672492099998,3
20,3.7480160854100002,3
21,5.5416935148800004,0
22,4.6973758001199997,3
23,10.0438283688,1
24,12.855873577400001,0
25,3.70808207931,3
26,2.3105072548000001,3
