Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.19,27,31,6,0.08831908831908832,2.1129032258064515,2.6937351682999999,0.3333333333333333,0.37037037037037035
0.37,27,54,3,0.15384615384615385,1.3636363636363635,2.5474327909599999,0.6,0.4074074074074074
0.56000000000000005,27,69,4,0.19658119658119658,1.9328358208955223,2.4657672492099998,0.4666666666666667,0.5925925925925926
0.75,27,83,3,0.23646723646723647,1.6711409395973154,2.6937351682999999,0.5583333333333333,0.5925925925925926
0.93999999999999995,27,100,5,0.2849002849002849,2.335740072202166,2.8949136640099997,0.358695652173913,0.8888888888888888
1.1200000000000001,27,127,5,0.3618233618233618,1.931407942238267,2.8949136640099997,0.45652173913043476,0.8888888888888888
1.3100000000000001,27,145,5,0.4131054131054131,1.7148014440433212,3.4275055077399998,0.5217391304347826,0.8888888888888888
1.5,27,159,3,0.45299145299145305,1.5451263537906137,3.4275055077399998,0.572463768115942,0.8888888888888888
1.6899999999999999,27,170,3,0.48433048433048437,1.4729241877256318,3.4275055077399998,0.6123188405797102,0.8888888888888888
1.8700000000000001,27,180,3,0.5128205128205129,1.4223826714801444,3.7851060218099999,0.6485507246376812,0.8888888888888888
