Coefficient,1.53
Nodes,36
Diameter,3
Giant Cluster Density,0.5661375661375662
% Nodes in Giant Cluster,0.7777777777777778
Mode Value,3.4275055077399998
Mode Name,13

Name,Value,Degree
0,2.8949136640099997,17
1,2.6937351682999999,17
2,5.7809743611500002,9
3,2.5474327909599999,17
4,19.174001253299998,0
5,3.7851060218099999,20
6,2.7431105831200004,17
7,3.8872540580400003,19
8,2.1701781677600001,12
9,4.8469245792699995,15
10,11.144034533199999,3
11,10.213883429800001,4
12,2.5184373453599997,16
13,3.4275055077399998,22
14,4.9032442489800001,15
15,14.092095620699999,1
16,4.7204660284400006,14
17,2.6875846911400001,17
18,4.743788103,14
19,2.2301221606200001,14
20,11.264115531300002,3
21,6.2843455054900001,6
22,5.0084333757600001,14
23,1.9559817337000001,12
24,2.4657672492099998,16
25,3.7480160854100002,21
26,5.5416935148800004,10
27,4.6973758001199997,14
28,9.1464241248700002,2
29,10.0438283688,4
30,2.1527042348799998,12
31,5.0883483361200001,14
32,12.855873577400001,1
33,3.70808207931,21
34,2.3105072548000001,15
35,4.0524889052299997,18
