Coefficient,1.0900000000000001
Nodes,36
Diameter,5
Giant Cluster Density,0.42063492063492064
% Nodes in Giant Cluster,0.7777777777777778
Mode Value,2.8949136640099997
Mode Name,0

Name,Value,Degree
0,2.8949136640099997,16
1,2.6937351682999999,14
2,5.7809743611500002,9
3,2.5474327909599999,12
4,19.174001253299998,0
5,3.7851060218099999,11
6,2.7431105831200004,15
7,3.8872540580400003,11
8,2.1701781677600001,11
9,4.8469245792699995,11
10,11.144034533199999,2
11,10.213883429800001,4
12,2.5184373453599997,12
13,3.4275055077399998,12
14,4.9032442489800001,10
15,14.092095620699999,0
16,4.7204660284400006,13
17,2.6875846911400001,14
18,4.743788103,13
19,2.2301221606200001,11
20,11.264115531300002,2
21,6.2843455054900001,2
22,5.0084333757600001,9
23,1.9559817337000001,11
24,2.4657672492099998,12
25,3.7480160854100002,12
26,5.5416935148800004,9
27,4.6973758001199997,13
28,9.1464241248700002,2
29,10.0438283688,2
30,2.1527042348799998,11
31,5.0883483361200001,9
32,12.855873577400001,0
33,3.70808207931,12
34,2.3105072548000001,11
35,4.0524889052299997,12
