Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.14999999999999999,52,106,13,0.07993966817496229,4.278333333333333,2.8917990210000002,0.16974789915966387,0.6730769230769231
0.31,52,246,6,0.18552036199095023,2.228951255539143,2.9954028669999997,0.3588588588588589,0.7115384615384616
0.46000000000000002,52,356,9,0.2684766214177979,2.4505263157894737,2.861765718,0.37209302325581395,0.8461538461538461
0.62,52,471,7,0.3552036199095023,1.9422875131164743,3.060225907,0.4915433403805497,0.8461538461538461
0.77000000000000002,52,552,6,0.41628959276018096,1.702194357366771,2.861765718,0.5761099365750528,0.8461538461538461
0.93000000000000005,52,632,7,0.47662141779788836,2.1240441801189465,2.805463692,0.5365646258503401,0.9423076923076923
1.0800000000000001,52,688,8,0.5188536953242835,2.131321370309951,2.9954028669999997,0.5608163265306123,0.9615384615384616
1.24,52,743,7,0.5603318250377074,1.9469820554649266,2.8137608219999999,0.6057142857142858,0.9615384615384616
1.3899999999999999,52,790,6,0.5957767722473605,1.7446982055464926,3.2908475080000001,0.6440816326530612,0.9615384615384616
1.55,52,824,5,0.6214177978883861,1.6525285481239804,3.4451867200000001,0.6718367346938776,0.9615384615384616
