Coefficient,0.14999999999999999
Nodes,52
Diameter,13
Giant Cluster Density,0.16974789915966387
% Nodes in Giant Cluster,0.6730769230769231
Mode Value,2.8917990210000002
Mode Name,25

Name,Value,Degree
0,1.9798196990000001,1
1,2.1793712159999998,3
2,2.1564832759999999,1
3,2.5380291169999998,4
4,1.6506389459999999,0
5,3.2908475080000001,6
6,2.805463692,8
7,3.060225907,5
8,1.9870348469999999,1
9,3.6157506549999998,2
10,4.6042131880000001,0
11,2.9954028669999997,7
12,3.2663970910000004,6
13,3.310455143,7
14,2.4664643280000003,4
15,8.4202107949999991,0
16,3.5445996330000002,3
17,2.8137608219999999,8
18,3.2597084960000005,7
19,2.634189412,7
20,2.6971961189999996,7
21,2.861765718,8
22,2.6924005710000003,6
23,4.8458282519999996,1
24,2.5176412560000001,4
25,2.8917990210000002,9
26,3.4451867200000001,4
27,2.8438885150000002,8
28,2.9646537339999997,8
29,4.0148820829999998,1
30,2.3157736280000001,2
31,2.3229906540000003,3
32,3.2109795069999998,7
33,3.3714633660000004,7
34,3.073038682,6
35,4.3870145869999995,0
36,3.5063151230000003,4
37,3.0407606819999997,6
38,2.7559902210000002,9
39,7.4728655060000007,0
40,2.7684267970000001,9
41,2.4870933559999999,4
42,3.113434931,7
43,3.2943135369999998,6
44,5.8703625720000003,0
45,4.048144218,1
46,6.5924004050000002,0
47,7.2000786059999999,1
48,10.547290780000001,1
49,4.9527849829999999,1
50,7.0852603710000004,1
51,10.65266536,1
