Coefficient,0.93000000000000005
Nodes,52
Diameter,7
Giant Cluster Density,0.5365646258503401
% Nodes in Giant Cluster,0.9423076923076923
Mode Value,2.805463692
Mode Name,6

Name,Value,Degree
0,1.9798196990000001,20
1,2.1793712159999998,25
2,2.1564832759999999,25
3,2.5380291169999998,34
4,1.6506389459999999,10
5,3.2908475080000001,32
6,2.805463692,36
7,3.060225907,34
8,1.9870348469999999,20
9,3.6157506549999998,28
10,4.6042131880000001,5
11,2.9954028669999997,34
12,3.2663970910000004,32
13,3.310455143,32
14,2.4664643280000003,33
15,8.4202107949999991,0
16,3.5445996330000002,29
17,2.8137608219999999,36
18,3.2597084960000005,32
19,2.634189412,35
20,2.6971961189999996,36
21,2.861765718,36
22,2.6924005710000003,36
23,4.8458282519999996,5
24,2.5176412560000001,34
25,2.8917990210000002,36
26,3.4451867200000001,30
27,2.8438885150000002,36
28,2.9646537339999997,34
29,4.0148820829999998,16
30,2.3157736280000001,27
31,2.3229906540000003,27
32,3.2109795069999998,34
33,3.3714633660000004,32
34,3.073038682,34
35,4.3870145869999995,8
36,3.5063151230000003,29
37,3.0407606819999997,34
38,2.7559902210000002,36
39,7.4728655060000007,3
40,2.7684267970000001,36
41,2.4870933559999999,33
42,3.113434931,33
43,3.2943135369999998,32
44,5.8703625720000003,2
45,4.048144218,16
46,6.5924004050000002,4
47,7.2000786059999999,3
48,10.547290780000001,1
49,4.9527849829999999,5
50,7.0852603710000004,3
51,10.65266536,1
