Coefficient,0.31
Nodes,52
Diameter,6
Giant Cluster Density,0.3588588588588589
% Nodes in Giant Cluster,0.7115384615384616
Mode Value,2.9954028669999997
Mode Name,11

Name,Value,Degree
0,1.9798196990000001,3
1,2.1793712159999998,7
2,2.1564832759999999,6
3,2.5380291169999998,13
4,1.6506389459999999,0
5,3.2908475080000001,14
6,2.805463692,17
7,3.060225907,18
8,1.9870348469999999,3
9,3.6157506549999998,5
10,4.6042131880000001,2
11,2.9954028669999997,19
12,3.2663970910000004,15
13,3.310455143,14
14,2.4664643280000003,12
15,8.4202107949999991,0
16,3.5445996330000002,9
17,2.8137608219999999,17
18,3.2597084960000005,15
19,2.634189412,13
20,2.6971961189999996,15
21,2.861765718,15
22,2.6924005710000003,15
23,4.8458282519999996,2
24,2.5176412560000001,12
25,2.8917990210000002,15
26,3.4451867200000001,10
27,2.8438885150000002,16
28,2.9646537339999997,17
29,4.0148820829999998,1
30,2.3157736280000001,7
31,2.3229906540000003,7
32,3.2109795069999998,14
33,3.3714633660000004,12
34,3.073038682,18
35,4.3870145869999995,1
36,3.5063151230000003,10
37,3.0407606819999997,18
38,2.7559902210000002,17
39,7.4728655060000007,1
40,2.7684267970000001,18
41,2.4870933559999999,11
42,3.113434931,17
43,3.2943135369999998,14
44,5.8703625720000003,0
45,4.048144218,1
46,6.5924004050000002,0
47,7.2000786059999999,2
48,10.547290780000001,1
49,4.9527849829999999,1
50,7.0852603710000004,1
51,10.65266536,1
