Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.14000000000000001,74,246,15,0.09107737874861162,4.532851985559566,2.7170639138400001,0.1734397677793904,0.7162162162162162
0.28000000000000003,74,481,10,0.1780821917808219,2.6533505154639174,2.7002407089099996,0.3064935064935065,0.7567567567567568
0.41999999999999998,74,699,8,0.2587930396149574,2.1399769585253456,2.49079952631,0.39918176504967856,0.7972972972972973
0.56000000000000005,74,915,11,0.3387634209552018,2.577563540753725,2.7002407089099996,0.3999122036874451,0.918918918918919
0.69999999999999996,74,1104,10,0.4087375046279156,2.2322524101665207,2.8080054828300001,0.4828797190517998,0.918918918918919
0.83999999999999997,74,1250,9,0.46279155868196964,2.2996781979082863,2.6703709762300001,0.50261569416499,0.9594594594594594
0.97999999999999998,74,1371,9,0.5075897815623843,2.082864038616251,2.6703709762300001,0.5513078470824949,0.9594594594594594
1.1200000000000001,74,1478,7,0.5472047389855609,1.8415124698310539,2.8080054828300001,0.5943661971830986,0.9594594594594594
1.27,74,1570,6,0.5812661977045539,1.7200321802091714,2.4345519414900001,0.6313883299798793,0.9594594594594594
1.4099999999999999,74,1648,5,0.6101443909663088,1.581657280772325,2.5853457770700001,0.6627766599597585,0.9594594594594594
