Coefficient,0.97999999999999998
Nodes,74
Diameter,9
Giant Cluster Density,0.5513078470824949
% Nodes in Giant Cluster,0.9594594594594594
Mode Value,2.6703709762300001
Mode Name,23

Name,Value,Degree
0,3.0088832978200002,51
1,2.49079952631,51
2,3.4933496969599998,39
3,2.8080054828300001,52
4,3.0931646002300002,50
5,2.7723216889099995,52
6,2.0773735782799996,44
7,2.8297413077,52
8,5.8956513645500008,5
9,2.6252248871099999,52
10,1.7712733345700002,30
11,2.4570004098099996,51
12,2.6316529581200001,52
13,2.4345519414900001,52
14,3.6340083014399998,32
15,2.7623497567000004,52
16,3.9124096446599994,19
17,3.9247984049599998,18
18,3.2392414273000001,45
19,3.0685256115200001,50
20,3.3962956554900003,42
21,3.21906804302,46
22,2.3161275402100001,48
23,2.6703709762300001,53
24,2.8500782417000003,51
25,7.3067942082200004,3
26,4.3673164171399996,12
27,2.2845024036599999,49
28,11.4611846728,0
29,1.8558831402400002,39
30,3.20258168323,47
31,6.4284969148300002,3
32,2.2072281648299996,45
33,1.9912243312200002,42
34,1.9483236511099997,41
35,2.82375641911,52
36,1.47057026092,17
37,3.3675942459799999,41
38,2.3273176674,48
39,2.1477885690299998,46
40,3.2545866932300003,44
41,4.4659404925599997,10
42,2.5853457770700001,52
43,2.7522390037400002,52
44,2.8152437131100001,52
45,9.4394616352999989,1
46,2.7170639138400001,53
47,2.5926564242400003,52
48,2.7002407089099996,53
49,2.6263084354099999,52
50,2.8839328446499999,51
51,2.9402254267600001,51
52,5.06731127813,7
53,2.5835900684999999,52
54,2.8054833376900001,52
55,2.1478851244200001,46
56,9.5233005451999997,1
57,1.1818965316399999,9
58,3.3992691744200001,42
59,7.6457415435699998,2
60,3.3896782535300001,42
61,2.2526024145099997,47
62,1.32261969225,14
63,2.7631256767100001,52
64,2.5154067171900003,52
65,4.7566344652400003,8
66,4.9585951141100004,7
67,2.2228367970299998,46
68,2.4902262841199998,51
69,2.9783299690200002,51
70,5.0392770416800001,7
71,5.3678511316800002,6
72,2.2740448455900002,48
73,7.2563106804499995,3
