Coefficient,0.69999999999999996
Nodes,74
Diameter,10
Giant Cluster Density,0.4828797190517998
% Nodes in Giant Cluster,0.918918918918919
Mode Value,2.8080054828300001
Mode Name,3

Name,Value,Degree
0,3.0088832978200002,41
1,2.49079952631,42
2,3.4933496969599998,23
3,2.8080054828300001,47
4,3.0931646002300002,39
5,2.7723216889099995,47
6,2.0773735782799996,32
7,2.8297413077,47
8,5.8956513645500008,2
9,2.6252248871099999,45
10,1.7712733345700002,18
11,2.4570004098099996,43
12,2.6316529581200001,45
13,2.4345519414900001,43
14,3.6340083014399998,16
15,2.7623497567000004,47
16,3.9124096446599994,12
17,3.9247984049599998,11
18,3.2392414273000001,36
19,3.0685256115200001,39
20,3.3962956554900003,29
21,3.21906804302,35
22,2.3161275402100001,41
23,2.6703709762300001,45
24,2.8500782417000003,45
25,7.3067942082200004,2
26,4.3673164171399996,7
27,2.2845024036599999,40
28,11.4611846728,0
29,1.8558831402400002,21
30,3.20258168323,35
31,6.4284969148300002,1
32,2.2072281648299996,38
33,1.9912243312200002,27
34,1.9483236511099997,26
35,2.82375641911,47
36,1.47057026092,9
37,3.3675942459799999,30
38,2.3273176674,41
39,2.1477885690299998,37
40,3.2545866932300003,36
41,4.4659404925599997,7
42,2.5853457770700001,45
43,2.7522390037400002,47
44,2.8152437131100001,47
45,9.4394616352999989,1
46,2.7170639138400001,47
47,2.5926564242400003,45
48,2.7002407089099996,47
49,2.6263084354099999,45
50,2.8839328446499999,45
51,2.9402254267600001,44
52,5.06731127813,6
53,2.5835900684999999,45
54,2.8054833376900001,47
55,2.1478851244200001,37
56,9.5233005451999997,1
57,1.1818965316399999,4
58,3.3992691744200001,29
59,7.6457415435699998,2
60,3.3896782535300001,29
61,2.2526024145099997,39
62,1.32261969225,6
63,2.7631256767100001,47
64,2.5154067171900003,43
65,4.7566344652400003,6
66,4.9585951141100004,6
67,2.2228367970299998,38
68,2.4902262841199998,42
69,2.9783299690200002,42
70,5.0392770416800001,6
71,5.3678511316800002,5
72,2.2740448455900002,39
73,7.2563106804499995,2
