Coefficient,0.56000000000000005
Nodes,74
Diameter,11
Giant Cluster Density,0.3999122036874451
% Nodes in Giant Cluster,0.918918918918919
Mode Value,2.7002407089099996
Mode Name,48

Name,Value,Degree
0,3.0088832978200002,37
1,2.49079952631,39
2,3.4933496969599998,16
3,2.8080054828300001,39
4,3.0931646002300002,34
5,2.7723216889099995,39
6,2.0773735782799996,24
7,2.8297413077,39
8,5.8956513645500008,2
9,2.6252248871099999,39
10,1.7712733345700002,15
11,2.4570004098099996,39
12,2.6316529581200001,39
13,2.4345519414900001,38
14,3.6340083014399998,12
15,2.7623497567000004,40
16,3.9124096446599994,9
17,3.9247984049599998,9
18,3.2392414273000001,27
19,3.0685256115200001,34
20,3.3962956554900003,18
21,3.21906804302,28
22,2.3161275402100001,37
23,2.6703709762300001,40
24,2.8500782417000003,39
25,7.3067942082200004,2
26,4.3673164171399996,4
27,2.2845024036599999,36
28,11.4611846728,0
29,1.8558831402400002,15
30,3.20258168323,28
31,6.4284969148300002,1
32,2.2072281648299996,30
33,1.9912243312200002,19
34,1.9483236511099997,18
35,2.82375641911,38
36,1.47057026092,6
37,3.3675942459799999,22
38,2.3273176674,38
39,2.1477885690299998,26
40,3.2545866932300003,27
41,4.4659404925599997,5
42,2.5853457770700001,39
43,2.7522390037400002,40
44,2.8152437131100001,38
45,9.4394616352999989,1
46,2.7170639138400001,40
47,2.5926564242400003,39
48,2.7002407089099996,42
49,2.6263084354099999,39
50,2.8839328446499999,38
51,2.9402254267600001,38
52,5.06731127813,4
53,2.5835900684999999,39
54,2.8054833376900001,38
55,2.1478851244200001,26
56,9.5233005451999997,1
57,1.1818965316399999,2
58,3.3992691744200001,18
59,7.6457415435699998,2
60,3.3896782535300001,19
61,2.2526024145099997,33
62,1.32261969225,4
63,2.7631256767100001,40
64,2.5154067171900003,39
65,4.7566344652400003,5
66,4.9585951141100004,5
67,2.2228367970299998,31
68,2.4902262841199998,39
69,2.9783299690200002,38
70,5.0392770416800001,4
71,5.3678511316800002,4
72,2.2740448455900002,36
73,7.2563106804499995,2
