Coefficient,1.6399999999999999
Nodes,47
Diameter,8
Giant Cluster Density,0.40088593576965675
% Nodes in Giant Cluster,0.9148936170212766
Mode Value,3.56822791489
Mode Name,30

Name,Value,Degree
0,3.1378289940599995,25
1,8.6351789170700002,6
2,2.6950048259099995,23
3,15.496228633699999,2
4,3.0610176044700004,25
5,5.3158562054100003,11
6,3.6282271510199999,24
7,6.6999262322200002,6
8,7.649845140830001,9
9,10.674174215100001,2
10,4.3518233087900002,22
11,8.7657904807999998,6
12,15.9314828075,2
13,3.18430939967,25
14,5.506660212309999,10
15,2.63549745591,23
16,11.238816690999998,2
17,16.433662217999998,2
18,1.9555144214500002,19
19,6.4339386431100003,7
20,12.4094399822,1
21,2.7673638648200001,24
22,9.0799486957300015,7
23,5.0292701739999996,14
24,2.9922789612299998,24
25,8.5070720882900002,6
26,1.9810567068599998,19
27,2.2526555523800003,21
28,8.9604815794100006,6
29,6.4265098639799998,7
30,3.56822791489,26
31,2.7678719726599996,24
32,2.36382014413,22
33,2.9464235566100001,24
34,2.3472560494099999,22
35,8.6435699706199998,6
36,4.6716632227800003,16
37,3.9739931168699996,26
38,3.3901732144399999,26
39,3.4088490880699998,26
40,3.1666228233999996,25
41,3.76572491751,25
42,4.09788897423,24
43,20.841514745400001,0
44,2.9095712754400003,24
45,2.80380623903,24
46,5.5350228965800001,10
