Coefficient,2.46
Nodes,47
Diameter,5
Giant Cluster Density,0.5182724252491694
% Nodes in Giant Cluster,0.9148936170212766
Mode Value,4.3518233087900002
Mode Name,10

Name,Value,Degree
0,3.1378289940599995,29
1,8.6351789170700002,10
2,2.6950048259099995,26
3,15.496228633699999,2
4,3.0610176044700004,28
5,5.3158562054100003,23
6,3.6282271510199999,29
7,6.6999262322200002,15
8,7.649845140830001,12
9,10.674174215100001,8
10,4.3518233087900002,32
11,8.7657904807999998,10
12,15.9314828075,2
13,3.18430939967,29
14,5.506660212309999,20
15,2.63549745591,26
16,11.238816690999998,4
17,16.433662217999998,2
18,1.9555144214500002,24
19,6.4339386431100003,15
20,12.4094399822,2
21,2.7673638648200001,26
22,9.0799486957300015,9
23,5.0292701739999996,27
24,2.9922789612299998,27
25,8.5070720882900002,10
26,1.9810567068599998,24
27,2.2526555523800003,25
28,8.9604815794100006,9
29,6.4265098639799998,15
30,3.56822791489,29
31,2.7678719726599996,26
32,2.36382014413,25
33,2.9464235566100001,27
34,2.3472560494099999,25
35,8.6435699706199998,10
36,4.6716632227800003,30
37,3.9739931168699996,31
38,3.3901732144399999,29
39,3.4088490880699998,29
40,3.1666228233999996,29
41,3.76572491751,29
42,4.09788897423,31
43,20.841514745400001,0
44,2.9095712754400003,27
45,2.80380623903,26
46,5.5350228965800001,19
