Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.40999999999999998,47,122,10,0.11285846438482885,3.3995584988962473,3.0610176044700004,0.2482758620689655,0.6382978723404256
0.81999999999999995,47,223,5,0.2062904717853839,1.9562363238512035,3.0610176044700004,0.46436781609195404,0.6382978723404256
1.23,47,313,7,0.2895467160037003,2.6424936386768447,3.1378289940599995,0.39487179487179486,0.851063829787234
1.6399999999999999,47,365,8,0.33765032377428306,2.6810154525386314,3.56822791489,0.40088593576965675,0.9148936170212766
2.0499999999999998,47,414,6,0.38297872340425526,2.173289183222958,3.6282271510199999,0.45514950166112955,0.9148936170212766
2.46,47,471,5,0.4357076780758557,1.8554083885209713,4.3518233087900002,0.5182724252491694,0.9148936170212766
2.8700000000000001,47,513,5,0.4745605920444033,1.7615894039735098,4.3518233087900002,0.5647840531561462,0.9148936170212766
3.2799999999999998,47,548,6,0.5069380203515264,1.9806763285024154,5.506660212309999,0.5294685990338164,0.9787234042553191
3.6899999999999999,47,596,5,0.5513413506012951,1.718840579710145,5.506660212309999,0.5758454106280193,0.9787234042553191
4.0999999999999996,47,628,4,0.5809435707678076,1.6115942028985508,5.3158562054100003,0.6067632850241546,0.9787234042553191
