Coefficient,1.23
Nodes,47
Diameter,7
Giant Cluster Density,0.39487179487179486
% Nodes in Giant Cluster,0.851063829787234
Mode Value,3.1378289940599995
Mode Name,0

Name,Value,Degree
0,3.1378289940599995,24
1,8.6351789170700002,6
2,2.6950048259099995,21
3,15.496228633699999,2
4,3.0610176044700004,23
5,5.3158562054100003,8
6,3.6282271510199999,20
7,6.6999262322200002,5
8,7.649845140830001,7
9,10.674174215100001,1
10,4.3518233087900002,15
11,8.7657904807999998,6
12,15.9314828075,2
13,3.18430939967,24
14,5.506660212309999,8
15,2.63549745591,21
16,11.238816690999998,2
17,16.433662217999998,2
18,1.9555144214500002,16
19,6.4339386431100003,6
20,12.4094399822,1
21,2.7673638648200001,22
22,9.0799486957300015,5
23,5.0292701739999996,7
24,2.9922789612299998,23
25,8.5070720882900002,6
26,1.9810567068599998,16
27,2.2526555523800003,18
28,8.9604815794100006,5
29,6.4265098639799998,6
30,3.56822791489,22
31,2.7678719726599996,22
32,2.36382014413,19
33,2.9464235566100001,23
34,2.3472560494099999,19
35,8.6435699706199998,6
36,4.6716632227800003,10
37,3.9739931168699996,19
38,3.3901732144399999,22
39,3.4088490880699998,22
40,3.1666228233999996,24
41,3.76572491751,20
42,4.09788897423,17
43,20.841514745400001,0
44,2.9095712754400003,23
45,2.80380623903,22
46,5.5350228965800001,8
