Coefficient,0.14999999999999999
Nodes,76
Diameter,18
Giant Cluster Density,0.1423728813559322
% Nodes in Giant Cluster,0.7894736842105263
Mode Value,2.9637138144800002
Mode Name,23

Name,Value,Degree
0,4.0458677169600001,4
1,2.5185486472199998,7
2,2.5432227031700001,8
3,2.7555845334599995,11
4,2.8014030872000002,10
5,2.7951852271700002,10
6,3.1073775687,12
7,2.4804875843,6
8,7.1025650650100003,1
9,3.0899984316699998,13
10,2.8418915887299998,12
11,2.3237990756999998,5
12,3.4492238789599998,7
13,1.50769275129,2
14,2.0451782067900002,4
15,3.0736115329600002,13
16,3.0828373531,13
17,3.3208642385400005,8
18,2.63418941207,8
19,4.9527722521999999,1
20,3.57685721046,4
21,2.6965075004299996,9
22,2.3154242745200002,4
23,2.9637138144800002,16
24,2.8895683982499998,13
25,3.0470848020800001,12
26,2.8282142907500001,12
27,2.4715063375500002,7
28,3.84452915955,2
29,3.2682785788099999,8
30,3.0496159116600001,12
31,1.9873586413900002,3
32,2.23258263508,5
33,2.9562906400400002,15
34,16.954563274200002,0
35,2.4509156812000001,8
36,2.8332257157599998,12
37,2.6905831226499997,10
38,1.60374253462,2
39,2.7551394302299999,11
40,4.1089008046300002,3
41,3.5070672769699995,6
42,3.3724768058999999,8
43,2.89080331603,13
44,3.2108396216299999,10
45,3.3926242654699998,8
46,4.3858512222400003,0
47,2.5426861110599996,8
48,2.9868695981000002,14
49,2.0977875913299999,6
50,3.0207629264099998,14
51,3.6157707808899997,3
52,3.4149710010700001,8
53,2.02889010064,4
54,2.9973222263900001,13
55,3.3077823712900001,9
56,10.6430128751,1
57,3.0627120730500001,13
58,3.7100469828199993,3
59,5.8794548062900009,0
60,2.5266188000599996,7
61,6.5971945553099998,0
62,3.9533618965300006,3
63,4.0115907797000006,4
64,3.2663970905999999,8
65,2.1551276294299999,5
66,4.8449108353300003,1
67,7.1988315533899998,1
68,2.2062212634999998,5
69,3.1668536678099994,12
70,1.55510646363,2
71,4.1107367892099997,3
72,4.6034448711099998,0
73,7.4664642845500007,0
74,10.6393232865,1
75,8.4077877471100013,0
