Coefficient,0.92000000000000004
Nodes,76
Diameter,4
Giant Cluster Density,0.6336499321573948
% Nodes in Giant Cluster,0.881578947368421
Mode Value,2.8014030872000002
Mode Name,4

Name,Value,Degree
0,4.0458677169600001,23
1,2.5185486472199998,49
2,2.5432227031700001,49
3,2.7555845334599995,52
4,2.8014030872000002,53
5,2.7951852271700002,53
6,3.1073775687,51
7,2.4804875843,48
8,7.1025650650100003,3
9,3.0899984316699998,50
10,2.8418915887299998,53
11,2.3237990756999998,44
12,3.4492238789599998,45
13,1.50769275129,11
14,2.0451782067900002,32
15,3.0736115329600002,51
16,3.0828373531,50
17,3.3208642385400005,50
18,2.63418941207,50
19,4.9527722521999999,6
20,3.57685721046,43
21,2.6965075004299996,52
22,2.3154242745200002,44
23,2.9637138144800002,52
24,2.8895683982499998,53
25,3.0470848020800001,51
26,2.8282142907500001,53
27,2.4715063375500002,48
28,3.84452915955,33
29,3.2682785788099999,50
30,3.0496159116600001,51
31,1.9873586413900002,30
32,2.23258263508,42
33,2.9562906400400002,52
34,16.954563274200002,0
35,2.4509156812000001,47
36,2.8332257157599998,53
37,2.6905831226499997,51
38,1.60374253462,15
39,2.7551394302299999,52
40,4.1089008046300002,22
41,3.5070672769699995,44
42,3.3724768058999999,49
43,2.89080331603,53
44,3.2108396216299999,52
45,3.3926242654699998,48
46,4.3858512222400003,13
47,2.5426861110599996,49
48,2.9868695981000002,51
49,2.0977875913299999,34
50,3.0207629264099998,50
51,3.6157707808899997,42
52,3.4149710010700001,47
53,2.02889010064,30
54,2.9973222263900001,51
55,3.3077823712900001,50
56,10.6430128751,1
57,3.0627120730500001,51
58,3.7100469828199993,40
59,5.8794548062900009,1
60,2.5266188000599996,48
61,6.5971945553099998,4
62,3.9533618965300006,29
63,4.0115907797000006,23
64,3.2663970905999999,50
65,2.1551276294299999,39
66,4.8449108353300003,8
67,7.1988315533899998,3
68,2.2062212634999998,42
69,3.1668536678099994,50
70,1.55510646363,13
71,4.1107367892099997,22
72,4.6034448711099998,10
73,7.4664642845500007,3
74,10.6393232865,1
75,8.4077877471100013,0
