Coefficient,0.76000000000000001
Nodes,76
Diameter,5
Giant Cluster Density,0.5504296698326548
% Nodes in Giant Cluster,0.881578947368421
Mode Value,2.7555845334599995
Mode Name,3

Name,Value,Degree
0,4.0458677169600001,17
1,2.5185486472199998,43
2,2.5432227031700001,43
3,2.7555845334599995,49
4,2.8014030872000002,48
5,2.7951852271700002,48
6,3.1073775687,45
7,2.4804875843,41
8,7.1025650650100003,3
9,3.0899984316699998,45
10,2.8418915887299998,48
11,2.3237990756999998,38
12,3.4492238789599998,42
13,1.50769275129,9
14,2.0451782067900002,25
15,3.0736115329600002,46
16,3.0828373531,45
17,3.3208642385400005,41
18,2.63418941207,47
19,4.9527722521999999,3
20,3.57685721046,36
21,2.6965075004299996,49
22,2.3154242745200002,37
23,2.9637138144800002,48
24,2.8895683982499998,48
25,3.0470848020800001,46
26,2.8282142907500001,48
27,2.4715063375500002,41
28,3.84452915955,23
29,3.2682785788099999,44
30,3.0496159116600001,46
31,1.9873586413900002,21
32,2.23258263508,33
33,2.9562906400400002,48
34,16.954563274200002,0
35,2.4509156812000001,41
36,2.8332257157599998,48
37,2.6905831226499997,49
38,1.60374253462,11
39,2.7551394302299999,49
40,4.1089008046300002,16
41,3.5070672769699995,40
42,3.3724768058999999,43
43,2.89080331603,48
44,3.2108396216299999,46
45,3.3926242654699998,43
46,4.3858512222400003,10
47,2.5426861110599996,43
48,2.9868695981000002,47
49,2.0977875913299999,28
50,3.0207629264099998,46
51,3.6157707808899997,33
52,3.4149710010700001,42
53,2.02889010064,23
54,2.9973222263900001,46
55,3.3077823712900001,41
56,10.6430128751,1
57,3.0627120730500001,46
58,3.7100469828199993,32
59,5.8794548062900009,1
60,2.5266188000599996,43
61,6.5971945553099998,3
62,3.9533618965300006,20
63,4.0115907797000006,19
64,3.2663970905999999,44
65,2.1551276294299999,30
66,4.8449108353300003,5
67,7.1988315533899998,3
68,2.2062212634999998,32
69,3.1668536678099994,45
70,1.55510646363,9
71,4.1107367892099997,16
72,4.6034448711099998,9
73,7.4664642845500007,2
74,10.6393232865,1
75,8.4077877471100013,0
