Coefficient,0.31
Nodes,76
Diameter,12
Giant Cluster Density,0.26884920634920634
% Nodes in Giant Cluster,0.8421052631578947
Mode Value,2.8014030872000002
Mode Name,4

Name,Value,Degree
0,4.0458677169600001,5
1,2.5185486472199998,17
2,2.5432227031700001,18
3,2.7555845334599995,26
4,2.8014030872000002,27
5,2.7951852271700002,26
6,3.1073775687,26
7,2.4804875843,15
8,7.1025650650100003,1
9,3.0899984316699998,26
10,2.8418915887299998,25
11,2.3237990756999998,14
12,3.4492238789599998,13
13,1.50769275129,2
14,2.0451782067900002,8
15,3.0736115329600002,25
16,3.0828373531,26
17,3.3208642385400005,20
18,2.63418941207,18
19,4.9527722521999999,1
20,3.57685721046,11
21,2.6965075004299996,22
22,2.3154242745200002,14
23,2.9637138144800002,26
24,2.8895683982499998,24
25,3.0470848020800001,26
26,2.8282142907500001,27
27,2.4715063375500002,15
28,3.84452915955,8
29,3.2682785788099999,22
30,3.0496159116600001,26
31,1.9873586413900002,6
32,2.23258263508,13
33,2.9562906400400002,24
34,16.954563274200002,0
35,2.4509156812000001,16
36,2.8332257157599998,26
37,2.6905831226499997,22
38,1.60374253462,2
39,2.7551394302299999,26
40,4.1089008046300002,6
41,3.5070672769699995,12
42,3.3724768058999999,17
43,2.89080331603,24
44,3.2108396216299999,22
45,3.3926242654699998,15
46,4.3858512222400003,3
47,2.5426861110599996,18
48,2.9868695981000002,26
49,2.0977875913299999,8
50,3.0207629264099998,26
51,3.6157707808899997,10
52,3.4149710010700001,14
53,2.02889010064,8
54,2.9973222263900001,26
55,3.3077823712900001,20
56,10.6430128751,1
57,3.0627120730500001,27
58,3.7100469828199993,8
59,5.8794548062900009,0
60,2.5266188000599996,18
61,6.5971945553099998,0
62,3.9533618965300006,6
63,4.0115907797000006,6
64,3.2663970905999999,21
65,2.1551276294299999,9
66,4.8449108353300003,2
67,7.1988315533899998,2
68,2.2062212634999998,11
69,3.1668536678099994,23
70,1.55510646363,2
71,4.1107367892099997,6
72,4.6034448711099998,2
73,7.4664642845500007,1
74,10.6393232865,1
75,8.4077877471100013,0
