Coefficient,1.3799999999999999
Nodes,76
Diameter,6
Giant Cluster Density,0.6902587519025876
% Nodes in Giant Cluster,0.9605263157894737
Mode Value,2.7555845334599995
Mode Name,3

Name,Value,Degree
0,4.0458677169600001,46
1,2.5185486472199998,57
2,2.5432227031700001,57
3,2.7555845334599995,62
4,2.8014030872000002,62
5,2.7951852271700002,62
6,3.1073775687,60
7,2.4804875843,57
8,7.1025650650100003,5
9,3.0899984316699998,60
10,2.8418915887299998,62
11,2.3237990756999998,55
12,3.4492238789599998,58
13,1.50769275129,28
14,2.0451782067900002,51
15,3.0736115329600002,60
16,3.0828373531,60
17,3.3208642385400005,61
18,2.63418941207,59
19,4.9527722521999999,13
20,3.57685721046,58
21,2.6965075004299996,60
22,2.3154242745200002,55
23,2.9637138144800002,60
24,2.8895683982499998,61
25,3.0470848020800001,60
26,2.8282142907500001,62
27,2.4715063375500002,57
28,3.84452915955,53
29,3.2682785788099999,61
30,3.0496159116600001,60
31,1.9873586413900002,48
32,2.23258263508,54
33,2.9562906400400002,60
34,16.954563274200002,0
35,2.4509156812000001,56
36,2.8332257157599998,62
37,2.6905831226499997,60
38,1.60374253462,32
39,2.7551394302299999,62
40,4.1089008046300002,44
41,3.5070672769699995,58
42,3.3724768058999999,60
43,2.89080331603,61
44,3.2108396216299999,60
45,3.3926242654699998,60
46,4.3858512222400003,31
47,2.5426861110599996,57
48,2.9868695981000002,59
49,2.0977875913299999,52
50,3.0207629264099998,60
51,3.6157707808899997,56
52,3.4149710010700001,59
53,2.02889010064,50
54,2.9973222263900001,59
55,3.3077823712900001,61
56,10.6430128751,1
57,3.0627120730500001,60
58,3.7100469828199993,54
59,5.8794548062900009,6
60,2.5266188000599996,57
61,6.5971945553099998,4
62,3.9533618965300006,47
63,4.0115907797000006,47
64,3.2663970905999999,61
65,2.1551276294299999,53
66,4.8449108353300003,14
67,7.1988315533899998,5
68,2.2062212634999998,54
69,3.1668536678099994,60
70,1.55510646363,30
71,4.1107367892099997,44
72,4.6034448711099998,22
73,7.4664642845500007,4
74,10.6393232865,1
75,8.4077877471100013,3
