Coefficient,1.53
Nodes,76
Diameter,5
Giant Cluster Density,0.7256468797564688
% Nodes in Giant Cluster,0.9605263157894737
Mode Value,3.4492238789599998
Mode Name,12

Name,Value,Degree
0,4.0458677169600001,51
1,2.5185486472199998,60
2,2.5432227031700001,60
3,2.7555845334599995,62
4,2.8014030872000002,62
5,2.7951852271700002,62
6,3.1073775687,62
7,2.4804875843,58
8,7.1025650650100003,5
9,3.0899984316699998,62
10,2.8418915887299998,62
11,2.3237990756999998,57
12,3.4492238789599998,63
13,1.50769275129,35
14,2.0451782067900002,53
15,3.0736115329600002,63
16,3.0828373531,63
17,3.3208642385400005,62
18,2.63418941207,62
19,4.9527722521999999,15
20,3.57685721046,60
21,2.6965075004299996,62
22,2.3154242745200002,57
23,2.9637138144800002,63
24,2.8895683982499998,63
25,3.0470848020800001,62
26,2.8282142907500001,62
27,2.4715063375500002,58
28,3.84452915955,56
29,3.2682785788099999,61
30,3.0496159116600001,62
31,1.9873586413900002,53
32,2.23258263508,56
33,2.9562906400400002,63
34,16.954563274200002,0
35,2.4509156812000001,58
36,2.8332257157599998,62
37,2.6905831226499997,62
38,1.60374253462,42
39,2.7551394302299999,62
40,4.1089008046300002,47
41,3.5070672769699995,63
42,3.3724768058999999,62
43,2.89080331603,63
44,3.2108396216299999,61
45,3.3926242654699998,62
46,4.3858512222400003,38
47,2.5426861110599996,60
48,2.9868695981000002,63
49,2.0977875913299999,55
50,3.0207629264099998,63
51,3.6157707808899997,60
52,3.4149710010700001,62
53,2.02889010064,53
54,2.9973222263900001,63
55,3.3077823712900001,61
56,10.6430128751,1
57,3.0627120730500001,62
58,3.7100469828199993,58
59,5.8794548062900009,7
60,2.5266188000599996,60
61,6.5971945553099998,4
62,3.9533618965300006,54
63,4.0115907797000006,51
64,3.2663970905999999,61
65,2.1551276294299999,55
66,4.8449108353300003,19
67,7.1988315533899998,5
68,2.2062212634999998,56
69,3.1668536678099994,61
70,1.55510646363,40
71,4.1107367892099997,47
72,4.6034448711099998,28
73,7.4664642845500007,4
74,10.6393232865,1
75,8.4077877471100013,3
