Coefficient,1.4199999999999999
Nodes,89
Diameter,4
Giant Cluster Density,0.7115326708822644
% Nodes in Giant Cluster,0.9213483146067416
Mode Value,3.1786223179999999
Mode Name,21

Name,Value,Degree
0,2.1072839880000003,62
1,2.136646056,62
2,5.3906659110000001,13
3,2.7956282410000002,67
4,2.4478072690000001,67
5,1.3210823999999999,33
6,2.5783464249999999,67
7,9.2561427270000003,3
8,4.0039869450000003,52
9,1.219117711,29
10,2.7494524910000004,67
11,2.2228367969999998,63
12,4.9122914340000001,19
13,2.6590087339999999,68
14,3.7216741180000001,62
15,1.852093575,54
16,3.0493792439999998,69
17,1.1896898419999999,28
18,2.7891410649999999,67
19,2.4870192929999999,67
20,3.0938551839999997,68
21,3.1786223179999999,71
22,3.8008959769999997,59
23,2.5959948069999998,69
24,3.0788610839999997,68
25,2.7829831450000002,67
26,3.3654532349999999,67
27,3.6511179880000002,63
28,2.7410504610000004,68
29,2.1442967190000002,62
30,4.9807397380000005,18
31,3.379536442,67
32,2.7208676719999998,68
33,2.564617428,67
34,4.5642578729999999,30
35,8.6122206729999995,6
36,2.4526855780000001,67
37,1.8043045709999999,52
38,3.25349003,69
39,4.0489949479999998,51
40,2.108242304,62
41,2.8341421610000004,67
42,3.436009415,67
43,2.306503454,65
44,4.3555358719999999,35
45,1.83575099,54
46,2.38707271,66
47,2.656962219,68
48,2.8690238669999997,67
49,1.6392646819999999,48
50,2.309179662,65
51,3.2246277180000003,69
52,4.0015862980000003,52
53,3.5781633310000003,63
54,3.8344205699999998,58
55,9.0798482889999992,3
56,2.7485792069999997,67
57,4.5859930709999999,30
58,4.6969161100000001,26
59,2.9755831700000002,69
60,2.520779825,67
61,2.1468144169999999,62
62,4.5268786350000001,30
63,2.7584094410000004,67
64,4.3772426600000003,34
65,2.7691764710000002,67
66,5.7540694670000008,10
67,3.2178510060000001,70
68,3.3103622869999998,68
69,3.5129064460000001,67
70,5.0661071770000001,17
71,1.9411975400000001,56
72,2.7456735069999998,67
73,2.2816163349999998,64
74,1.7616388359999999,51
75,2.499730338,67
76,9.3698876939999991,3
77,3.3891045980000003,67
78,2.3315841480000001,65
79,3.4786718369999998,66
80,7.3068924629999996,3
81,2.6302184340000001,69
82,7.2240253939999999,3
83,2.024802121,60
84,2.7574782180000001,67
85,2.7588986089999996,67
86,2.9379519039999997,68
87,3.2812461330000002,68
88,7.6424309529999999,3
