hd73256,0.037,1.85,1.05,3.54913
hd83443,0.04,0.41,0.79,2.55294
hd46375,0.04,0.25,1,2.00125
hd179949,0.04,0.98,1.24,2.93712
hd187123,0.04,0.51,1.06,2.48929
tauboo,0.05,4.13,1.3,5.83755
bd-103166,0.05,0.48,1.1,3.01195
hd75289,0.05,0.44,1.15,2.88281
hd209458,0.05,0.67,1.05,3.41869
51peg,0.05,0.46,1.06,3.00641
upsandb,0.059,0.69,1.3,3.79386
hd68988,0.07,1.92,1.2,6.50226
hd217107,0.07,1.3,0.98,6.10844
hd162020,0.074,14.4,0.7,16.1031
hd130322,0.088,1.02,0.89,7.31385
hd38529b,0.129,0.78,1.39,8.4504
55cncb,0.115,0.84,1.03,8.53307
gj86,0.11,4.01,0.86,14.5948
hd195019,0.14,3.57,1.02,16.8814
hd6434,0.15,0.48,0.99,9.35882
hd192263,0.15,0.75,0.79,11.7084
hd88133,0.047,0.22,1.2,2.12051
hd330075,0.043,0.76,0.95,3.17024
